School_Name,School_ID,AR_Type,PEPAIMO4_1,CSPAP1_1,CSPAP1_2,CSPAP1_3,CSPAP1_4,CSPAP1_5,CSPAP1_6,CSPAP1_7,CSPAP1_8,CSPAP1_9,CSPAP1_10,CSPAP2_1,CSPAP2_2,CSPAP2_3,CSPAP2_4,CSPAP2_5,CSPAP2_6,CSPAP2_7,CSPAP2_8,CSPAP2_9,CSPAP2_10,CSPAP3_1,CSPAP3_2,CSPAP3_3,CSPAP3_4,CSPAP3_5,CSPAP3_6,CSPAP3_7,CSPAP3_8,CSPAP3_9,CSPAP3_10,CSPAP4_1,CSPAP4_2,CSPAP4_3,CSPAP4_4,CSPAP4_5,CSPAP4_6,CSPAP4_7,CSPAP4_8,CSPAP4_9,CSPAP4_10,CSPAP5_1,CSPAP5_2,CSPAP5_3,CSPAP5_4,CSPAP5_5,CSPAP5_6,CSPAP5_7,CSPAP5_8,CSPAP5_9,CSPAP5_10
McKinley Middle,1292,"=""6-8""",0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,50.0,50.0,50.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.0,20.0,20.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,50.0,50.0,50.0
McKay K-8 School,4360,"=""K-8""",0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,80.0,80.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,60.0,60.0,60.0,60.0
McCormack Middle School,2190,"=""6-8""",0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,25.0,25.0,25.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.0,20.0,20.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,140.0,140.0,140.0,,,,,,,,140.0,140.0,140.0
Mattapan EES,4691,"=""K-5""",0,45.0,45.0,45.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15.0,15.0,15.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15.0,15.0,15.0,-999.0,-999.0,5.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,,,,,,,,40.0,40.0,40.0,,,,,,,
Mason Elementary,4121,"=""K-5""",0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,5.0,5.0,5.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20.0,20.0,20.0,20.0,20.0,20.0,,,,
Manning Elementary,4311,"=""K-5""",0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,,,,50.0,50.0,50.0,50.0,50.0,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,45.0,45.0,0.0,45.0,0.0,0.0,45.0,-999.0,-999.0,-999.0
Madison Park Technical Vocational High,1210,"=""9-12""",0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Lyon K-8 School,4171,"=""K-8""",0,-999.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-999.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,70.0,60.0,120.0,80.0,140.0,140.0,140.0,80.0,80.0
Lyon High School,1171,"=""9-12""",0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,,,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
Lyndon K-8 School,4331,"=""K-8""",1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,30.0,30.0,30.0,30.0,30.0,35.0,35.0,10.0,10.0,10.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
